"ID"	"State"
"Pt38.baseline"	"IS01"
"Pt29.baseline"	"IS02"
"Pt14.baseline"	"IS03"
"Pt2.baseline"	"IS04"
"Pt8.baseline"	"IS04"
"Pt9.baseline"	"IS04"
"Pt13.baseline"	"IS04"
"Pt22.baseline"	"IS04"
"Pt23.baseline"	"IS04"
"Pt5.baseline"	"IS05"
"Pt6.baseline"	"IS05"
"Pt7.baseline"	"IS05"
"Pt10.baseline"	"IS05"
"Pt31.baseline"	"IS05"
"Pt35.baseline"	"IS05"
"Pt37.baseline"	"IS05"
"Pt1.baseline"	"IS06"
"Pt4.baseline"	"IS06"
"Pt12.baseline"	"IS06"
"Pt27A.baseline"	"IS06"
"Pt27B.baseline"	"IS06"
"Pt28.baseline"	"IS06"
"Pt15.baseline"	"IS07"
"Pt19.baseline"	"IS07"
"Pt25.baseline"	"IS07"
"Pt20.baseline"	"IS08"
"Pt32.baseline"	"IS09"
