"ID"	"State"
"Pt13.baseline"	"IS01"
"Pt23.baseline"	"IS01"
"Pt20.baseline"	"IS04"
"Pt38.baseline"	"IS04"
"Pt12.baseline"	"IS05"
"Pt29.baseline"	"IS06"
"Pt5.baseline"	"IS08"
"Pt6.baseline"	"IS08"
"Pt7.baseline"	"IS08"
"Pt8.baseline"	"IS08"
"Pt1.baseline"	"IS10"
"Pt9.baseline"	"IS10"
"Pt22.baseline"	"IS10"
"Pt14.baseline"	"IS11"
"Pt19.baseline"	"IS12"
"Pt28.baseline"	"IS15"
"Pt2.baseline"	"IS16"
"Pt4.baseline"	"IS16"
"Pt25.baseline"	"IS16"
"Pt27A.baseline"	"IS16"
"Pt27B.baseline"	"IS16"
"Pt35.baseline"	"IS16"
"Pt37.baseline"	"IS16"
"Pt10.baseline"	"IS17"
"Pt32.baseline"	"IS17"
"Pt15.baseline"	"IS19"
"Pt31.baseline"	"IS19"
