"ID"	"State"
"Pt2.baseline"	"IS01"
"Pt9.baseline"	"IS01"
"Pt29.baseline"	"IS01"
"Pt8.baseline"	"IS02"
"Pt15.baseline"	"IS02"
"Pt19.baseline"	"IS02"
"Pt25.baseline"	"IS02"
"Pt31.baseline"	"IS02"
"Pt4.baseline"	"IS03"
"Pt7.baseline"	"IS03"
"Pt1.baseline"	"IS04"
"Pt22.baseline"	"IS04"
"Pt28.baseline"	"IS05"
"Pt5.baseline"	"IS06"
"Pt6.baseline"	"IS06"
"Pt27B.baseline"	"IS06"
"Pt35.baseline"	"IS06"
"Pt37.baseline"	"IS06"
"Pt10.baseline"	"IS07"
"Pt12.baseline"	"IS07"
"Pt13.baseline"	"IS07"
"Pt14.baseline"	"IS07"
"Pt32.baseline"	"IS07"
"Pt20.baseline"	"IS08"
"Pt23.baseline"	"IS08"
"Pt27A.baseline"	"IS08"
"Pt38.baseline"	"IS08"
