"ID"	"State"
"Pt31.baseline"	"IS01"
"Pt8.baseline"	"IS02"
"Pt27A.baseline"	"IS02"
"Pt2.baseline"	"IS03"
"Pt20.baseline"	"IS04"
"Pt25.baseline"	"IS04"
"Pt38.baseline"	"IS04"
"Pt19.baseline"	"IS05"
"Pt1.baseline"	"IS06"
"Pt9.baseline"	"IS06"
"Pt10.baseline"	"IS06"
"Pt13.baseline"	"IS06"
"Pt22.baseline"	"IS06"
"Pt4.baseline"	"IS07"
"Pt5.baseline"	"IS07"
"Pt6.baseline"	"IS07"
"Pt7.baseline"	"IS07"
"Pt12.baseline"	"IS07"
"Pt15.baseline"	"IS07"
"Pt27B.baseline"	"IS07"
"Pt29.baseline"	"IS07"
"Pt35.baseline"	"IS07"
"Pt37.baseline"	"IS07"
"Pt23.baseline"	"IS08"
"Pt32.baseline"	"IS08"
"Pt14.baseline"	"IS09"
"Pt28.baseline"	"IS09"
